CaseID,ActivityID,CompleteTimestamp
4103,Closed,2010-11-30 10:40:55
4137,Assign seriousness,2011-04-06 15:35:49
4137,Take in charge ticket,2011-04-06 15:36:04
4137,Wait,2011-04-07 15:41:23
4137,Take in charge ticket,2011-04-13 08:49:14
4137,Resolve ticket,2011-04-13 08:49:22
4137,Closed,2011-05-28 08:50:26
4148,Assign seriousness,2011-09-16 07:04:39
4148,Take in charge ticket,2011-09-16 07:18:12
4148,Resolve ticket,2011-09-16 15:04:46
4148,Closed,2011-11-10 08:10:45
4181,Assign seriousness,2011-04-14 15:54:28
4181,Assign seriousness,2011-04-14 15:54:46
4181,Wait,2011-04-15 10:41:19
4181,Take in charge ticket,2011-04-27 10:30:04
4181,Wait,2011-04-27 10:30:13
4181,Take in charge ticket,2011-05-06 09:42:13
4181,Resolve ticket,2011-05-06 09:42:28
4181,Closed,2011-05-21 09:42:52
4214,Assign seriousness,2010-12-30 15:03:15
4214,Take in charge ticket,2011-01-11 08:40:08
4214,Resolve ticket,2011-01-13 11:45:18
4214,Closed,2011-02-12 15:10:46
4248,Assign seriousness,2011-06-07 07:34:53
4248,Take in charge ticket,2011-06-07 07:35:14
4248,Wait,2011-07-08 08:44:58
4248,Resolve ticket,2011-07-12 07:00:36
4248,Closed,2011-07-27 07:01:03
4259,Assign seriousness,2011-11-02 08:20:14
4259,Take in charge ticket,2011-11-02 08:20:41
4259,Resolve ticket,2011-11-02 09:49:41
4259,Closed,2011-12-07 08:30:27
4270,Assign seriousness,2011-01-25 13:15:31
4270,Take in charge ticket,2011-01-25 13:15:58
4270,Resolve ticket,2011-02-14 11:48:42
4270,Closed,2011-03-01 11:48:59
4303,Assign seriousness,2010-03-11 15:15:54
4303,Assign seriousness,2010-04-23 07:44:51
4303,Take in charge ticket,2010-04-23 07:44:59
4303,Resolve ticket,2010-04-23 07:45:04
4303,Closed,2010-05-08 07:45:21
4314,Assign seriousness,2012-01-10 15:01:36
4314,Resolve ticket,2012-01-10 15:58:08
4314,Closed,2012-02-25 15:10:39
4336,Assign seriousness,2011-11-08 09:18:10
4336,Take in charge ticket,2011-11-08 09:22:35
4336,Resolve ticket,2011-12-05 16:33:12
4336,Closed,2011-12-20 16:33:29
4370,Assign seriousness,2010-02-09 08:31:47
4370,Take in charge ticket,2010-02-09 08:35:12
4370,Wait,2010-02-09 08:35:26
4370,Wait,2010-02-09 08:36:27
4370,Take in charge ticket,2010-02-19 08:31:40
4370,Resolve ticket,2010-02-19 08:32:00
4370,Closed,2010-04-09 07:40:43
4403,Assign seriousness,2010-12-10 09:15:54
4403,Take in charge ticket,2010-12-10 09:16:17
4403,Resolve ticket,2010-12-10 09:16:34
4403,Closed,2011-01-12 09:20:47
4414,Assign seriousness,2011-02-24 17:01:50
4414,Take in charge ticket,2011-02-24 17:03:45
4414,Resolve ticket,2011-03-04 10:02:13
4414,Closed,2011-04-09 16:00:27
4436,Assign seriousness,2011-11-14 14:35:55
4436,Take in charge ticket,2011-11-17 16:58:30
4436,Wait,2011-11-17 16:59:03
4436,Resolve ticket,2011-11-25 09:30:07
4436,Take in charge ticket,2011-11-28 13:50:35
4436,Wait,2011-11-28 13:59:00
4436,Resolve ticket,2011-12-07 13:41:18
4436,Closed,2012-01-06 16:20:25
4447,Assign seriousness,2010-09-24 07:57:49
4447,Assign seriousness,2010-09-24 13:43:51
4447,Wait,2010-09-24 13:44:52
4447,Take in charge ticket,2010-10-04 10:48:54
4447,Resolve ticket,2010-10-04 10:49:08
4447,Closed,2010-11-03 11:49:30
4470,Assign seriousness,2010-03-16 07:59:03
4470,Take in charge ticket,2010-03-17 09:02:03
4470,Resolve ticket,2010-03-17 09:49:51
4470,Closed,2010-04-21 16:00:28
4481,Assign seriousness,2011-05-24 12:51:35
4481,Take in charge ticket,2011-05-24 12:52:07
4481,Resolve ticket,2011-05-24 13:36:11
4481,Closed,2011-07-09 13:00:36
4492,Assign seriousness,2010-03-09 10:09:33
4492,Take in charge ticket,2010-03-09 10:09:44
4492,Resolve ticket,2010-03-18 09:27:56
4492,Closed,2010-05-02 08:28:46
4514,Assign seriousness,2012-02-08 08:33:56
4514,Take in charge ticket,2012-02-08 08:34:08
4514,Resolve ticket,2012-02-08 08:34:34
4514,Closed,2012-04-07 07:42:34
4525,Assign seriousness,2011-09-26 10:27:14
4525,Take in charge ticket,2011-09-29 13:54:32
4525,Resolve ticket,2011-09-30 09:09:23
4525,Closed,2011-10-27 10:30:27
4569,Assign seriousness,2011-05-11 10:16:32
4569,Take in charge ticket,2011-05-11 10:17:55
4569,Resolve ticket,2011-05-16 08:33:29
4569,Closed,2011-06-11 10:20:27
13,Insert ticket,2010-06-18 13:47:15
13,Assign seriousness,2010-06-18 14:18:15
13,Take in charge ticket,2010-06-29 07:35:47
13,Resolve ticket,2010-06-29 08:33:07
13,Closed,2010-08-05 13:50:24
24,Assign seriousness,2012-01-30 09:09:29
24,Take in charge ticket,2012-01-30 09:09:57
24,Resolve ticket,2012-01-31 08:12:06
24,Closed,2012-03-16 09:12:11
35,Assign seriousness,2010-06-07 07:30:54
35,Assign seriousness,2010-06-07 07:49:10
35,Take in charge ticket,2010-06-07 15:16:44
35,Wait,2010-06-08 10:37:29
35,Take in charge ticket,2010-06-09 07:18:05
35,Create SW anomaly,2010-06-09 07:18:28
35,Resolve ticket,2010-06-16 09:23:07
35,Closed,2010-07-16 09:23:33
46,Assign seriousness,2011-01-27 08:34:59
46,Take in charge ticket,2011-01-27 09:32:40
46,Resolve ticket,2011-01-27 09:34:24
46,Closed,2011-03-05 08:42:36
90,Assign seriousness,2011-01-12 11:28:16
90,Take in charge ticket,2011-01-24 09:21:26
90,Resolve ticket,2011-01-26 08:12:39
90,Closed,2011-02-25 08:13:02
101,Assign seriousness,2010-09-24 15:35:31
101,Take in charge ticket,2010-09-27 09:11:48
101,Wait,2010-09-28 08:31:41
101,Take in charge ticket,2010-11-08 09:33:36
101,Resolve ticket,2010-11-08 09:33:57
101,Closed,2010-11-23 09:34:09
113,Assign seriousness,2010-12-16 09:33:24
113,Take in charge ticket,2010-12-16 09:40:25
113,Resolve ticket,2010-12-16 15:52:50
113,Closed,2011-02-13 09:40:36
124,Assign seriousness,2010-06-29 14:00:48
124,Take in charge ticket,2010-06-29 15:16:26
124,Resolve ticket,2010-06-30 08:05:04
124,Take in charge ticket,2010-06-30 14:19:00
124,Wait,2010-07-01 09:00:03
124,Take in charge ticket,2010-07-02 14:07:18
124,Resolve ticket,2010-07-02 14:08:52
124,Closed,2010-08-05 14:10:24
135,Assign seriousness,2011-10-06 07:50:55
135,Take in charge ticket,2011-10-07 14:03:47
135,Resolve ticket,2011-10-14 14:44:32
135,Closed,2011-11-08 09:00:20
146,Insert ticket,2010-05-06 15:51:48
146,Assign seriousness,2010-05-24 10:23:15
146,Take in charge ticket,2010-05-25 13:48:24
146,Resolve ticket,2010-05-25 14:11:28
146,Closed,2010-06-09 14:11:39
179,Assign seriousness,2011-04-08 13:02:03
179,Take in charge ticket,2011-04-08 13:02:38
179,Resolve ticket,2011-04-08 13:07:10
179,Closed,2011-05-30 13:11:18
201,Assign seriousness,2011-03-07 11:02:24
201,Take in charge ticket,2011-03-07 11:02:41
201,Resolve ticket,2011-03-07 13:14:21
201,Closed,2011-04-13 10:10:26
212,Assign seriousness,2011-12-05 14:22:17
212,Take in charge ticket,2011-12-05 14:58:56
212,Resolve ticket,2011-12-13 09:22:04
212,Closed,2012-02-02 14:30:45
235,Assign seriousness,2011-02-09 13:28:58
235,Take in charge ticket,2011-02-09 14:21:02
235,Resolve ticket,2011-02-09 14:21:46
235,Closed,2011-04-02 14:15:17
246,Assign seriousness,2011-02-14 15:23:08
246,Take in charge ticket,2011-02-15 11:17:46
246,Resolve ticket,2011-02-15 11:52:47
246,Closed,2011-03-30 14:30:33
257,Assign seriousness,2011-05-06 07:33:07
257,Take in charge ticket,2011-05-06 07:33:39
257,Wait,2011-05-06 12:55:50
257,Take in charge ticket,2011-05-12 13:45:43
257,Resolve ticket,2011-05-12 13:45:54
257,Closed,2011-06-19 08:30:40
279,Assign seriousness,2010-08-19 09:48:49
279,Take in charge ticket,2010-08-19 09:49:49
279,Wait,2010-08-19 10:07:15
279,Take in charge ticket,2010-09-13 08:15:21
279,Resolve ticket,2010-09-13 08:49:39
279,Closed,2010-09-28 08:49:59
301,Assign seriousness,2010-03-12 09:28:49
301,Take in charge ticket,2010-03-12 09:29:00
301,Resolve ticket,2010-03-12 09:37:27
301,Closed,2010-04-14 08:30:56
312,Assign seriousness,2011-11-28 08:10:27
312,Resolve ticket,2011-11-28 09:46:59
312,Resolve ticket,2011-11-28 09:46:59
312,Closed,2011-12-31 08:20:48
335,Insert ticket,2010-04-08 08:58:03
335,Assign seriousness,2010-04-08 09:01:05
335,Take in charge ticket,2010-04-08 09:01:11
335,Resolve ticket,2010-04-08 09:01:19
335,Closed,2010-05-11 09:00:24
335,Closed,2010-05-11 09:00:24
368,Assign seriousness,2011-01-26 11:24:58
368,Assign seriousness,2011-01-26 11:59:56
368,Take in charge ticket,2011-01-26 12:00:03
368,Resolve ticket,2011-01-28 14:29:17
368,Closed,2011-03-11 11:30:34
379,Assign seriousness,2011-04-19 14:42:45
379,Take in charge ticket,2011-04-19 14:45:25
379,Resolve ticket,2011-04-19 14:45:42
379,Closed,2011-06-02 14:50:17
390,Assign seriousness,2011-02-08 11:57:41
390,Take in charge ticket,2011-02-08 11:58:01
390,Wait,2011-02-10 08:27:30
390,Take in charge ticket,2011-02-14 12:01:11
390,Resolve ticket,2011-02-14 12:02:59
390,Take in charge ticket,2011-03-03 09:46:37
390,Resolve ticket,2011-03-03 14:05:29
390,Closed,2011-04-02 14:15:17
412,Assign seriousness,2011-08-05 13:00:13
412,Take in charge ticket,2011-08-11 10:30:47
412,Wait,2011-08-12 13:42:55
412,Resolve ticket,2011-08-19 12:25:37
412,Closed,2011-09-07 13:10:56
434,Assign seriousness,2010-04-19 07:44:31
434,Take in charge ticket,2010-04-19 09:15:20
434,Resolve ticket,2010-04-19 09:26:05
434,Closed,2010-05-26 07:50:40
457,Assign seriousness,2011-01-12 10:39:32
457,Take in charge ticket,2011-01-12 10:39:56
457,Wait,2011-01-12 10:50:26
457,Take in charge ticket,2011-01-12 11:07:51
457,Wait,2011-01-12 11:34:34
457,Take in charge ticket,2011-01-26 09:25:14
457,Resolve ticket,2011-01-26 09:26:04
457,Closed,2011-02-15 08:31:10
512,Assign seriousness,2010-10-05 14:55:27
512,Take in charge ticket,2010-10-05 15:09:10
512,Resolve ticket,2010-10-05 15:09:39
512,Closed,2010-11-05 16:00:53
534,Assign seriousness,2012-01-09 11:19:35
534,Take in charge ticket,2012-01-09 16:14:26
534,Resolve ticket,2012-01-09 16:14:53
534,Resolve ticket,2012-01-09 16:14:53
534,Closed,2012-02-09 11:20:25
545,Assign seriousness,2011-02-09 14:35:27
545,Take in charge ticket,2011-02-09 15:16:21
545,Resolve ticket,2011-02-09 15:24:44
545,Closed,2011-04-09 13:40:25
557,Insert ticket,2011-05-18 08:39:41
557,Assign seriousness,2011-05-18 08:39:49
557,Take in charge ticket,2011-05-18 08:41:36
557,Wait,2011-05-23 15:20:54
557,Take in charge ticket,2011-05-26 07:55:33
557,Resolve ticket,2011-05-26 07:56:00
557,Closed,2011-07-07 10:10:33
568,Assign seriousness,2010-02-10 10:25:33
568,Take in charge ticket,2010-02-10 10:33:38
568,Resolve ticket,2010-02-10 10:33:49
568,Closed,2010-03-13 10:30:26
612,Assign seriousness,2010-12-14 16:19:51
612,Take in charge ticket,2010-12-17 10:45:21
612,Wait,2010-12-23 15:26:07
612,Take in charge ticket,2011-01-18 11:15:13
612,Resolve ticket,2011-01-18 11:15:29
612,Closed,2011-02-02 11:15:44
634,Assign seriousness,2011-05-24 07:13:23
634,Take in charge ticket,2011-05-31 15:42:09
634,Resolve ticket,2011-06-06 10:19:01
634,Closed,2011-06-24 07:20:28
645,Assign seriousness,2010-09-20 15:57:01
645,Take in charge ticket,2010-09-21 07:45:37
645,Resolve ticket,2010-09-21 07:53:48
645,Closed,2010-11-12 17:01:05
656,Assign seriousness,2011-09-21 07:12:16
656,Take in charge ticket,2011-09-21 07:46:44
656,Resolve ticket,2011-09-27 13:20:30
656,Closed,2011-10-22 07:21:38
668,Assign seriousness,2011-02-25 10:55:02
668,Take in charge ticket,2011-02-25 13:26:45
668,Resolve ticket,2011-02-25 13:28:30
668,Closed,2011-04-16 10:01:15
679,Assign seriousness,2010-08-10 07:16:09
679,Take in charge ticket,2010-08-12 10:33:35
679,Resolve ticket,2010-08-13 07:24:41
679,Closed,2010-09-10 07:20:19
690,Assign seriousness,2011-10-04 15:47:43
690,Assign seriousness,2011-10-07 13:29:10
690,Resolve ticket,2011-10-07 13:30:00
690,Closed,2011-11-17 16:52:25
701,Assign seriousness,2010-10-15 08:27:20
701,Take in charge ticket,2010-10-27 11:46:30
701,Resolve ticket,2010-10-27 11:46:36
701,Closed,2010-11-28 09:30:57
712,Assign seriousness,2010-09-28 12:44:01
712,Take in charge ticket,2010-09-28 12:46:50
712,Resolve ticket,2010-09-28 14:03:08
712,Closed,2010-11-04 13:51:16
723,Assign seriousness,2012-01-13 16:36:23
723,Resolve ticket,2012-01-13 16:36:49
723,Closed,2012-02-26 16:40:38
734,Assign seriousness,2010-02-11 08:48:50
734,Take in charge ticket,2010-02-23 16:56:28
734,Resolve ticket,2010-02-23 16:56:36
734,Closed,2010-03-27 08:50:35
745,Assign seriousness,2011-11-23 14:43:38
745,Take in charge ticket,2011-11-25 10:12:19
745,Wait,2011-11-25 14:01:18
745,Resolve ticket,2011-11-28 09:25:00
745,Resolve ticket,2011-11-28 09:25:02
745,Closed,2011-12-27 10:10:16
756,Assign seriousness,2012-01-09 10:01:47
756,Take in charge ticket,2012-01-09 11:20:28
756,Resolve ticket,2012-01-09 11:21:29
756,Closed,2012-02-22 10:10:48
790,Assign seriousness,2011-08-29 14:12:48
790,Assign seriousness,2011-08-30 09:49:49
790,Take in charge ticket,2011-08-30 10:06:35
790,Resolve ticket,2011-08-31 07:34:45
790,Closed,2011-10-12 14:20:14
801,Assign seriousness,2010-09-16 16:02:20
801,Take in charge ticket,2010-09-21 14:03:12
801,Resolve ticket,2010-09-27 10:08:54
801,Closed,2010-11-14 17:00:47
812,Assign seriousness,2010-11-15 09:15:12
812,Assign seriousness,2010-11-15 09:15:27
812,Take in charge ticket,2010-11-16 12:58:01
812,Resolve ticket,2010-11-16 13:01:14
812,Closed,2011-01-13 09:21:08
823,Assign seriousness,2011-10-24 10:22:28
823,Take in charge ticket,2011-11-03 15:48:18
823,Wait,2011-11-04 16:24:35
823,Resolve ticket,2011-11-09 14:20:52
823,Closed,2011-12-14 09:40:33
834,Assign seriousness,2010-10-05 07:46:59
834,Take in charge ticket,2010-10-05 07:59:41
834,Resolve ticket,2010-10-05 08:00:18
834,Closed,2010-11-19 09:00:53
856,Assign seriousness,2012-01-18 08:12:04
856,Take in charge ticket,2012-01-18 08:21:52
856,Resolve ticket,2012-01-18 09:42:03
856,Closed,2012-02-18 08:21:43
890,Assign seriousness,2011-10-06 10:23:22
890,Take in charge ticket,2011-10-06 14:07:44
890,Resolve ticket,2011-10-06 14:31:30
890,Closed,2011-11-19 11:30:36
901,Assign seriousness,2011-09-29 09:51:55
901,Resolve ticket,2011-09-30 13:14:19
901,Closed,2011-11-01 11:00:50
912,Assign seriousness,2010-05-20 08:31:32
912,Take in charge ticket,2010-05-24 10:55:17
912,Resolve ticket,2010-05-24 10:59:57
912,Closed,2010-06-23 08:40:25
923,Insert ticket,2010-05-19 15:08:49
923,Assign seriousness,2010-05-20 07:53:47
923,Take in charge ticket,2010-05-24 07:15:57
923,Resolve ticket,2010-05-24 07:18:09
923,Closed,2010-06-25 15:10:30
945,Assign seriousness,2010-11-02 13:49:59
945,Take in charge ticket,2010-11-03 14:06:18
945,Wait,2010-11-03 14:06:51
945,Take in charge ticket,2010-11-18 09:52:12
945,Resolve ticket,2010-11-18 09:52:18
945,Closed,2010-12-03 09:52:30
967,Assign seriousness,2010-10-25 13:14:08
967,Take in charge ticket,2010-10-27 13:27:14
967,Resolve ticket,2010-10-27 13:29:30
967,Closed,2010-12-09 14:22:27
978,Assign seriousness,2012-01-09 13:58:58
978,Take in charge ticket,2012-01-09 13:59:09
978,Resolve ticket,2012-01-10 09:03:01
978,Closed,2012-02-09 14:00:15
989,Assign seriousness,2010-02-02 13:49:13
989,Assign seriousness,2010-02-02 14:04:15
989,Take in charge ticket,2010-02-03 14:27:07
989,Resolve ticket,2010-02-03 14:27:16
989,Closed,2010-03-18 13:50:26
1001,Assign seriousness,2011-02-21 15:36:25
1001,Take in charge ticket,2011-02-21 16:44:27
1001,Resolve ticket,2011-03-03 14:26:19
1001,Closed,2011-04-02 14:15:17
1045,Assign seriousness,2012-02-08 11:28:03
1045,Take in charge ticket,2012-02-10 10:28:30
1045,Resolve ticket,2012-03-05 11:31:08
1045,Closed,2012-03-20 11:31:31
1056,Assign seriousness,2010-09-21 10:53:00
1056,Take in charge ticket,2010-09-23 09:25:07
1056,Wait,2010-09-27 10:09:43
1056,Take in charge ticket,2010-09-29 07:06:22
1056,Wait,2010-09-29 08:04:55
1056,Take in charge ticket,2010-09-29 12:29:35
1056,Resolve ticket,2010-09-29 12:29:47
1056,Closed,2010-11-13 13:30:16
1067,Assign seriousness,2011-11-16 10:45:30
1067,Take in charge ticket,2011-11-17 13:31:33
1067,Resolve ticket,2011-11-17 13:32:09
1067,Closed,2011-12-30 10:50:28
1089,Assign seriousness,2011-04-28 13:46:15
1089,Take in charge ticket,2011-04-28 13:46:46
1089,Resolve ticket,2011-05-09 15:43:48
1089,Closed,2011-06-14 10:13:10
1100,Take in charge ticket,2011-12-13 15:45:50
1100,Resolve ticket,2011-12-14 10:27:28
1100,Closed,2012-01-13 15:50:26
1124,Assign seriousness,2011-08-22 07:06:31
1124,Take in charge ticket,2011-08-22 09:14:28
1124,Resolve ticket,2011-08-22 09:31:48
1124,Closed,2011-09-22 07:10:16
1146,Assign seriousness,2010-06-11 10:18:02
1146,Take in charge ticket,2010-06-11 12:22:40
1146,Resolve ticket,2010-06-16 08:04:16
1146,Closed,2010-07-14 10:20:16
1157,Assign seriousness,2011-10-31 15:30:39
1157,Take in charge ticket,2011-10-31 15:30:50
1157,Resolve ticket,2011-11-02 13:41:11
1157,Closed,2011-12-14 15:40:32
1168,Assign seriousness,2010-12-07 11:10:52
1168,Take in charge ticket,2010-12-09 11:19:43
1168,Wait,2010-12-20 14:24:30
1168,Take in charge ticket,2010-12-21 13:36:16
1168,Resolve ticket,2010-12-21 14:31:29
1168,Closed,2011-01-21 11:20:31
1179,Assign seriousness,2011-03-04 10:26:28
1179,Take in charge ticket,2011-03-04 10:29:32
1179,Wait,2011-03-04 11:32:51
1179,Take in charge ticket,2011-03-11 11:48:16
1179,Resolve ticket,2011-03-11 11:48:28
1179,Closed,2011-04-10 10:48:53
1190,Assign seriousness,2011-06-21 13:40:37
1190,Take in charge ticket,2011-06-23 13:54:10
1190,Resolve ticket,2011-07-11 07:42:06
1190,Closed,2011-07-26 07:42:22
1201,Assign seriousness,2010-10-12 10:50:55
1201,Take in charge ticket,2010-10-12 12:58:07
1201,Resolve ticket,2010-10-12 15:05:33
1201,Closed,2010-11-27 12:00:28
1212,Assign seriousness,2012-01-11 10:39:43
1212,Take in charge ticket,2012-01-11 10:40:06
1212,Resolve ticket,2012-01-11 10:41:58
1212,Closed,2012-02-17 10:40:45
1257,Assign seriousness,2011-07-19 10:43:29
1257,Resolve ticket,2011-07-27 08:19:08
1257,Closed,2011-08-19 10:50:42
1268,Assign seriousness,2011-01-26 08:16:35
1268,Assign seriousness,2011-01-26 08:57:02
1268,Take in charge ticket,2011-01-26 08:57:35
1268,Resolve ticket,2011-01-27 08:24:33
1268,Closed,2011-02-26 08:20:46
1279,Assign seriousness,2010-04-15 07:13:46
1279,Take in charge ticket,2010-04-27 14:30:12
1279,Resolve ticket,2010-04-27 14:30:18
1279,Closed,2010-05-27 14:30:44
1290,Assign seriousness,2010-03-24 11:14:07
1290,Assign seriousness,2010-03-24 11:14:29
1290,Take in charge ticket,2010-03-24 11:14:37
1290,Resolve ticket,2010-03-24 11:14:41
1290,Closed,2010-04-28 10:21:00
1301,Assign seriousness,2011-03-04 09:34:36
1301,Take in charge ticket,2011-03-04 09:35:05
1301,Resolve ticket,2011-03-08 15:20:32
1301,Closed,2011-04-13 08:40:35
1312,Assign seriousness,2011-03-25 16:16:00
1312,Take in charge ticket,2011-03-25 16:17:36
1312,Resolve ticket,2011-03-25 16:31:47
1312,Take in charge ticket,2011-03-28 09:02:16
1312,Wait,2011-03-31 15:35:15
1312,Take in charge ticket,2011-04-08 12:49:14
1312,Resolve ticket,2011-04-08 13:01:12
1312,Closed,2011-04-27 15:20:31
1323,Take in charge ticket,2011-11-11 10:10:51
1323,Wait,2011-11-11 10:52:25
1323,Take in charge ticket,2011-11-15 08:46:26
1323,Resolve ticket,2011-11-15 08:47:32
1323,Resolve ticket,2011-11-15 08:47:33
1323,Closed,2011-12-16 08:10:17
1335,Assign seriousness,2011-07-25 11:03:37
1335,Take in charge ticket,2011-07-28 13:41:04
1335,Wait,2011-08-04 09:47:48
1335,Resolve ticket,2011-08-04 13:25:57
1335,Closed,2011-09-09 14:40:38
1346,Assign seriousness,2011-11-23 10:46:01
1346,Take in charge ticket,2011-11-25 15:11:06
