Case ID,Activity,Complete Timestamp,Resource
4469,Take in charge ticket,2010-05-24 10:26:28,Value 6
4469,Resolve ticket,2010-05-25 15:35:44,Value 12
4469,Closed,2010-06-09 15:35:56,Value 5
1,Assign seriousness,2010-02-10 08:50:20,Value 2
1,Take in charge ticket,2010-03-19 08:47:06,Value 2
1,Resolve ticket,2010-03-19 08:47:13,Value 2
1,Closed,2010-04-03 07:47:38,Value 5
112,Assign seriousness,2011-12-21 15:24:41,Value 4
112,Take in charge ticket,2011-12-21 15:25:34,Value 4
112,Resolve ticket,2011-12-22 09:55:43,Value 4
112,Closed,2012-01-21 15:30:31,Value 5
223,Assign seriousness,2013-03-18 10:47:34,Value 4
223,Take in charge ticket,2013-03-18 15:03:49,Value 2
223,Resolve ticket,2013-04-03 07:13:38,Value 2
223,Closed,2013-04-18 07:13:53,Value 3
334,Assign seriousness,2012-12-17 09:47:49,Value 4
334,Take in charge ticket,2013-01-02 09:22:43,Value 4
334,Resolve ticket,2013-01-04 10:29:36,Value 4
334,Closed,2013-01-19 10:29:51,Value 3
445,Assign seriousness,2011-07-05 13:47:08,Value 13
445,Take in charge ticket,2011-07-05 13:47:22,Value 13
445,Resolve ticket,2011-07-05 13:52:37,Value 13
445,Closed,2011-08-05 13:50:21,Value 5
556,Assign seriousness,2013-02-20 09:58:27,Value 2
556,Assign seriousness,2013-03-08 08:25:42,Value 2
556,Take in charge ticket,2013-03-08 08:30:43,Value 9
556,Resolve ticket,2013-03-08 08:34:08,Value 9
556,Closed,2013-03-23 08:34:25,Value 3
667,Assign seriousness,2012-02-22 14:16:52,Value 1
667,Take in charge ticket,2012-02-22 16:14:07,Value 9
667,Take in charge ticket,2012-02-22 16:23:57,Value 1
667,Resolve ticket,2012-02-23 09:47:38,Value 9
667,Closed,2012-03-24 14:20:19,Value 5
778,Assign seriousness,2011-10-14 07:10:47,Value 1
778,Take in charge ticket,2011-11-02 16:17:52,Value 2
778,Resolve ticket,2011-11-09 13:31:37,Value 2
778,Closed,2011-11-24 15:57:55,Value 5
889,Assign seriousness,2013-03-01 16:06:11,Value 1
889,Take in charge ticket,2013-03-18 14:04:03,Value 1
889,Resolve ticket,2013-03-19 10:22:40,Value 1
889,Resolve ticket,2013-03-19 10:22:40,Value 1
889,Closed,2013-04-03 09:23:01,Value 3
1000,Assign seriousness,2010-07-07 07:54:04,Value 2
1000,Take in charge ticket,2010-07-09 10:10:52,Value 7
1000,Resolve ticket,2010-07-09 10:11:18,Value 7
1000,Closed,2010-08-07 08:00:22,Value 5
1112,Assign seriousness,2013-05-09 07:10:37,Value 14
1112,Take in charge ticket,2013-06-04 13:33:01,Value 9
1112,Wait,2013-06-10 09:06:43,Value 9
1112,Resolve ticket,2013-06-19 09:12:02,Value 9
1112,Closed,2013-07-04 09:12:15,Value 3
1223,Assign seriousness,2011-01-14 15:15:21,Value 8
1223,Take in charge ticket,2011-01-27 08:06:37,Value 2
1223,Resolve ticket,2011-01-27 10:19:15,Value 2
1223,Closed,2011-02-26 10:19:37,Value 5
1334,Assign seriousness,2012-07-23 07:49:04,Value 1
1334,Take in charge ticket,2012-07-23 07:49:14,Value 1
1334,Wait,2012-07-23 08:51:59,Value 1
1334,Resolve ticket,2012-08-27 10:05:23,Value 1
1334,Closed,2012-09-11 10:05:33,Value 3
1445,Assign seriousness,2012-12-19 16:33:23,Value 13
1445,Take in charge ticket,2013-01-03 08:26:14,Value 2
1445,Resolve ticket,2013-01-22 15:50:53,Value 1
1445,Closed,2013-02-06 15:51:06,Value 3
1556,Assign seriousness,2010-04-27 09:49:56,Value 2
1556,Take in charge ticket,2010-06-08 11:06:56,Value 2
1556,Resolve ticket,2010-06-08 14:46:16,Value 2
1556,Closed,2010-06-23 14:46:28,Value 5
1667,Assign seriousness,2010-12-30 09:27:17,Value 13
1667,Take in charge ticket,2010-12-30 13:14:04,Value 2
1667,Resolve ticket,2010-12-30 15:16:35,Value 2
1667,Closed,2011-02-16 09:30:28,Value 5
1778,Assign seriousness,2011-03-31 07:28:47,Value 2
1778,Take in charge ticket,2011-03-31 07:31:59,Value 2
1778,Wait,2011-03-31 08:39:41,Value 2
1778,Take in charge ticket,2011-03-31 11:00:28,Value 2
1778,Resolve ticket,2011-03-31 11:00:41,Value 2
1778,Closed,2011-05-05 09:50:46,Value 5
1889,Assign seriousness,2011-11-24 14:02:16,Value 1
1889,Take in charge ticket,2011-11-24 14:02:35,Value 1
1889,Resolve ticket,2011-12-12 09:04:47,Value 13
1889,Closed,2011-12-27 09:05:04,Value 5
2000,Assign seriousness,2013-10-25 15:53:59,Value 9
2000,Take in charge ticket,2013-10-25 15:54:05,Value 9
2000,Create SW anomaly,2013-10-25 15:54:12,Value 9
2000,Require upgrade,2013-10-25 15:54:23,Value 9
2000,Require upgrade,2013-11-14 15:55:48,Value 1
2000,Resolve ticket,2013-12-23 08:08:05,Value 1
2111,Assign seriousness,2012-07-30 10:07:32,Value 1
2111,Take in charge ticket,2012-07-30 10:07:40,Value 1
2111,Resolve ticket,2012-07-30 12:29:40,Value 1
2111,Closed,2012-09-14 10:10:38,Value 5
2223,Assign seriousness,2011-01-21 09:47:20,Value 2
2223,Take in charge ticket,2011-02-07 09:19:45,Value 2
2223,Resolve ticket,2011-02-10 09:01:20,Value 2
2223,Closed,2011-02-25 09:01:35,Value 5
2334,Assign seriousness,2013-04-15 12:41:20,Value 4
2334,Take in charge ticket,2013-04-18 07:06:11,Value 9
2334,Create SW anomaly,2013-04-18 07:18:02,Value 9
2334,Require upgrade,2013-04-18 07:18:23,Value 9
2334,Resolve ticket,2013-05-15 13:30:39,Value 9
2334,Closed,2013-05-30 13:31:00,Value 3
2445,Assign seriousness,2011-04-27 07:38:44,Value 8
2445,Take in charge ticket,2011-04-27 12:46:13,Value 8
2445,Resolve ticket,2011-04-28 08:18:08,Value 2
2445,Closed,2011-06-04 07:40:30,Value 5
2556,Assign seriousness,2013-04-29 13:22:48,Value 14
2556,Take in charge ticket,2013-05-14 14:53:46,Value 14
2556,Resolve ticket,2013-05-15 10:19:05,Value 14
2556,Closed,2013-05-30 10:19:20,Value 3
2667,Assign seriousness,2013-06-11 13:56:40,Value 14
2667,Take in charge ticket,2013-06-25 10:42:45,Value 14
2667,Wait,2013-06-25 10:43:50,Value 14
2667,Wait,2013-06-26 13:27:04,Value 9
2667,Resolve ticket,2013-07-05 10:18:32,Value 9
2667,Closed,2013-07-20 10:18:42,Value 3
2778,Assign seriousness,2012-01-18 08:15:30,Value 1
2778,Resolve ticket,2012-01-18 09:46:37,Value 1
2778,Closed,2012-03-10 08:20:43,Value 5
2889,Assign seriousness,2011-06-29 10:06:48,Value 2
2889,Take in charge ticket,2011-06-30 12:58:23,Value 6
2889,Resolve ticket,2011-07-05 07:32:43,Value 6
2889,Closed,2011-07-30 10:10:20,Value 5
3000,Assign seriousness,2011-02-10 11:13:07,Value 8
3000,Take in charge ticket,2011-02-10 11:13:33,Value 8
3000,Resolve ticket,2011-02-10 15:20:02,Value 9
3000,Resolve ticket,2011-03-02 13:23:58,Value 2
3000,Take in charge ticket,2011-03-02 13:24:07,Value 2
3000,Wait,2011-03-02 15:27:52,Value 2
3000,Take in charge ticket,2011-03-04 09:37:50,Value 2
3000,Resolve ticket,2011-03-04 09:37:55,Value 2
3000,Closed,2011-04-03 08:38:21,Value 5
3111,Assign seriousness,2012-03-20 07:57:45,Value 4
3111,Take in charge ticket,2012-03-20 07:58:15,Value 4
3111,Resolve ticket,2012-03-20 08:18:56,Value 4
3111,Closed,2012-04-21 16:00:36,Value 5
3222,Assign seriousness,2013-08-29 11:05:59,Value 14
3222,Take in charge ticket,2013-09-11 12:57:48,Value 2
3222,Wait,2013-09-12 09:46:36,Value 4
3222,Resolve ticket,2013-09-27 09:50:58,Value 4
3222,Closed,2013-10-12 09:51:11,Value 3
3334,Assign seriousness,2012-08-09 12:13:03,Value 4
3334,Take in charge ticket,2012-08-09 12:13:29,Value 4
3334,Resolve ticket,2012-08-09 12:46:00,Value 13
3334,Closed,2012-09-12 12:20:25,Value 5
3445,Assign seriousness,2010-12-14 10:44:26,Value 14
3445,Take in charge ticket,2010-12-14 10:44:57,Value 14
3445,Resolve ticket,2010-12-14 10:45:12,Value 14
3445,Closed,2011-01-27 10:50:31,Value 5
3556,Assign seriousness,2011-06-16 12:23:39,Value 8
3556,Take in charge ticket,2011-06-16 12:51:05,Value 8
3556,Resolve ticket,2011-06-16 13:39:51,Value 8
3556,Closed,2011-07-30 12:30:33,Value 5
3667,Assign seriousness,2012-04-10 08:56:32,Value 1
3667,Take in charge ticket,2012-04-10 09:27:27,Value 4
3667,Resolve ticket,2012-04-10 10:53:28,Value 4
3667,Closed,2012-05-26 09:00:20,Value 5
3778,Assign seriousness,2010-11-29 16:09:19,Value 2
3778,Take in charge ticket,2010-11-29 16:19:59,Value 2
3778,Resolve ticket,2010-11-29 16:20:51,Value 2
3778,Closed,2010-12-31 16:10:28,Value 5
3889,Assign seriousness,2012-01-20 14:08:14,Value 9
3889,Take in charge ticket,2012-01-25 11:46:19,Value 9
3889,Resolve ticket,2012-03-02 10:40:59,Value 9
3889,Closed,2012-03-17 10:41:18,Value 5
3981,Assign seriousness,2012-11-14 14:33:17,Value 1
3981,Take in charge ticket,2012-11-15 13:33:28,Value 2
3981,Take in charge ticket,2012-11-15 13:33:59,Value 12
3981,Wait,2012-11-16 11:37:21,Value 12
3981,Resolve ticket,2012-12-14 14:20:49,Value 12
3981,Closed,2012-12-29 14:21:03,Value 3
3992,Assign seriousness,2011-05-25 09:48:18,Value 8
3992,Take in charge ticket,2011-05-25 09:48:43,Value 8
3992,Resolve ticket,2011-05-30 15:04:34,Value 15
3992,Closed,2011-07-01 09:50:37,Value 5
4003,Insert ticket,2010-12-01 13:42:59,Value 12
4003,Assign seriousness,2010-12-02 14:07:33,Value 2
4003,Take in charge ticket,2010-12-02 14:07:41,Value 2
4003,Resolve ticket,2010-12-02 14:08:33,Value 2
4003,Closed,2011-01-01 14:08:51,Value 5
4014,Assign seriousness,2011-11-25 14:33:54,Value 2
4014,Take in charge ticket,2011-11-25 14:47:48,Value 2
4014,Wait,2011-11-29 14:47:35,Value 2
4014,Resolve ticket,2011-12-02 16:25:57,Value 2
4014,Closed,2012-01-07 16:20:26,Value 5
4026,Assign seriousness,2012-01-16 10:53:01,Value 4
4026,Take in charge ticket,2012-01-16 10:59:51,Value 4
4026,Resolve ticket,2012-01-16 16:37:54,Value 4
4026,Resolve ticket,2012-01-16 16:37:55,Value 4
4026,Closed,2012-02-16 11:00:57,Value 5
4037,Assign seriousness,2012-06-13 13:55:36,Value 4
4037,Take in charge ticket,2012-06-14 07:07:06,Value 4
4037,Wait,2012-06-15 07:16:27,Value 10
4037,Resolve ticket,2012-07-02 09:41:04,Value 10
4037,Closed,2012-07-18 07:30:21,Value 5
4048,Assign seriousness,2012-07-26 15:18:26,Value 13
4048,Take in charge ticket,2012-07-26 15:18:35,Value 13
4048,Resolve ticket,2012-07-27 10:46:28,Value 13
4048,Closed,2012-09-12 15:20:55,Value 5
4059,Assign seriousness,2010-10-14 13:53:13,Value 2
4059,Take in charge ticket,2010-10-15 13:02:36,Value 14
4059,Wait,2010-10-28 15:12:55,Value 12
4059,Wait,2010-10-28 15:12:55,Value 12
4059,Take in charge ticket,2010-10-29 13:42:01,Value 12
4059,Resolve ticket,2010-11-04 08:48:12,Value 2
4059,Closed,2010-12-04 08:48:57,Value 5
4070,Assign seriousness,2013-11-07 08:20:59,Value 1
4070,Take in charge ticket,2013-11-29 09:10:50,Value 2
4070,Resolve ticket,2013-12-02 16:14:22,Value 2
4070,Closed,2013-12-17 16:14:40,Value 3
4081,Assign seriousness,2011-10-26 15:51:42,Value 4
4081,Take in charge ticket,2011-10-31 15:19:03,Value 9
4081,Wait,2011-11-07 08:44:52,Value 9
4081,Resolve ticket,2011-11-21 08:21:23,Value 9
4081,Closed,2011-12-06 08:21:36,Value 5
4092,Assign seriousness,2012-01-30 11:32:58,Value 2
4092,Resolve ticket,2012-01-30 11:33:23,Value 2
4092,Closed,2012-03-14 11:40:25,Value 5
4103,Assign seriousness,2010-10-29 09:39:23,Value 6
4103,Take in charge ticket,2010-11-02 14:56:13,Value 6
4103,Resolve ticket,2010-11-02 15:39:05,Value 6
4103,Closed,2010-11-30 10:40:55,Value 5
4114,Assign seriousness,2012-11-16 15:49:30,Value 1
4114,Create SW anomaly,2012-11-16 15:49:51,Value 1
4114,Require upgrade,2012-11-28 13:50:07,Value 2
4114,Resolve ticket,2012-12-17 09:55:05,Value 2
4114,Closed,2013-01-01 09:55:26,Value 3
4125,Assign seriousness,2012-03-28 12:28:37,Value 1
4125,Take in charge ticket,2012-03-28 12:28:47,Value 1
4125,Resolve ticket,2012-03-28 15:32:57,Value 1
4125,Resolve ticket,2012-03-28 15:32:57,Value 1
4125,Closed,2012-04-28 12:30:17,Value 5
4137,Assign seriousness,2011-04-06 15:35:49,Value 13
4137,Take in charge ticket,2011-04-06 15:36:04,Value 13
4137,Wait,2011-04-07 15:41:23,Value 13
4137,Take in charge ticket,2011-04-13 08:49:14,Value 2
4137,Resolve ticket,2011-04-13 08:49:22,Value 2
4137,Closed,2011-05-28 08:50:26,Value 5
4148,Assign seriousness,2011-09-16 07:04:39,Value 1
4148,Take in charge ticket,2011-09-16 07:18:12,Value 10
4148,Resolve ticket,2011-09-16 15:04:46,Value 10
4148,Closed,2011-11-10 08:10:45,Value 5
4159,Assign seriousness,2012-05-28 15:16:47,Value 4
4159,Resolve ticket,2012-05-28 15:18:27,Value 4
4159,Closed,2012-07-26 15:20:39,Value 5
4170,Assign seriousness,2013-03-06 15:05:09,Value 4
4170,Take in charge ticket,2013-03-22 08:58:01,Value 9
4170,Resolve ticket,2013-03-22 09:34:16,Value 9
4170,Closed,2013-04-06 08:34:35,Value 3
4181,Assign seriousness,2011-04-14 15:54:28,Value 13
4181,Assign seriousness,2011-04-14 15:54:46,Value 13
4181,Wait,2011-04-15 10:41:19,Value 11
4181,Take in charge ticket,2011-04-27 10:30:04,Value 2
4181,Wait,2011-04-27 10:30:13,Value 2
4181,Take in charge ticket,2011-05-06 09:42:13,Value 11
4181,Resolve ticket,2011-05-06 09:42:28,Value 11
4181,Closed,2011-05-21 09:42:52,Value 5
4192,Assign seriousness,2013-02-13 13:41:45,Value 4
4192,Take in charge ticket,2013-03-01 09:23:38,Value 2
4192,Wait,2013-03-01 10:14:20,Value 2
4192,Resolve ticket,2013-03-01 16:01:20,Value 2
4192,Closed,2013-03-16 16:01:36,Value 3
4203,Assign seriousness,2012-06-26 08:46:53,Value 2
4203,Take in charge ticket,2012-06-26 08:47:39,Value 13
4203,Resolve ticket,2012-06-26 13:05:58,Value 13
4203,Closed,2012-08-24 15:42:30,Value 2
4214,Assign seriousness,2010-12-30 15:03:15,Value 13
4214,Take in charge ticket,2011-01-11 08:40:08,Value 2
4214,Resolve ticket,2011-01-13 11:45:18,Value 2
4214,Closed,2011-02-12 15:10:46,Value 5
4225,Assign seriousness,2012-04-11 14:09:22,Value 4
4225,Take in charge ticket,2012-04-11 14:09:45,Value 4
4225,Resolve ticket,2012-04-12 10:31:37,Value 13
4225,Closed,2012-05-12 14:10:23,Value 5
4236,Assign seriousness,2013-04-05 08:30:22,Value 1
4236,Take in charge ticket,2013-04-30 13:27:21,Value 2
4236,Resolve ticket,2013-04-30 13:32:43,Value 9
4236,Closed,2013-05-15 13:32:57,Value 3
4248,Assign seriousness,2011-06-07 07:34:53,Value 8
4248,Take in charge ticket,2011-06-07 07:35:14,Value 8
4248,Wait,2011-07-08 08:44:58,Value 2
4248,Resolve ticket,2011-07-12 07:00:36,Value 2
4248,Closed,2011-07-27 07:01:03,Value 5
4259,Assign seriousness,2011-11-02 08:20:14,Value 4
4259,Take in charge ticket,2011-11-02 08:20:41,Value 4
4259,Resolve ticket,2011-11-02 09:49:41,Value 4
4259,Closed,2011-12-07 08:30:27,Value 5
4270,Assign seriousness,2011-01-25 13:15:31,Value 8
4270,Take in charge ticket,2011-01-25 13:15:58,Value 8
4270,Resolve ticket,2011-02-14 11:48:42,Value 15
4270,Closed,2011-03-01 11:48:59,Value 5
4281,Assign seriousness,2012-07-31 11:01:15,Value 1
4281,Resolve ticket,2012-07-31 11:02:02,Value 1
4281,Closed,2012-09-07 11:00:40,Value 5
4292,Resolve ticket,2012-02-10 11:42:26,Value 13
4292,Closed,2012-04-10 09:32:49,Value 2
4303,Assign seriousness,2010-03-11 15:15:54,Value 2
4303,Assign seriousness,2010-04-23 07:44:51,Value 2
4303,Take in charge ticket,2010-04-23 07:44:59,Value 2
4303,Resolve ticket,2010-04-23 07:45:04,Value 2
4303,Closed,2010-05-08 07:45:21,Value 5
4314,Assign seriousness,2012-01-10 15:01:36,Value 1
4314,Resolve ticket,2012-01-10 15:58:08,Value 1
4314,Closed,2012-02-25 15:10:39,Value 5
4325,Assign seriousness,2013-09-25 13:32:38,Value 14
4325,Take in charge ticket,2013-09-25 13:33:02,Value 14
4325,Wait,2013-09-25 14:29:45,Value 14
4325,Resolve ticket,2013-10-21 15:09:58,Value 14
4325,Closed,2013-11-05 16:10:14,Value 3
4336,Assign seriousness,2011-11-08 09:18:10,Value 6
4336,Take in charge ticket,2011-11-08 09:22:35,Value 6
4336,Resolve ticket,2011-12-05 16:33:12,Value 6
4336,Closed,2011-12-20 16:33:29,Value 5
4347,Assign seriousness,2013-10-03 07:22:55,Value 14
4347,Take in charge ticket,2013-10-04 09:08:21,Value 2
4347,Wait,2013-10-07 13:20:44,Value 2
4347,Wait,2013-10-09 07:36:41,Value 2
4347,Resolve ticket,2013-11-08 09:26:35,Value 2
4347,Closed,2013-11-23 09:26:49,Value 3
4359,Assign seriousness,2012-08-02 09:22:58,Value 13
4359,Take in charge ticket,2012-08-03 12:12:15,Value 13
4359,Resolve ticket,2012-08-10 10:13:48,Value 13
4359,Closed,2012-09-09 10:14:13,Value 5
4370,Assign seriousness,2010-02-09 08:31:47,Value 16
4370,Take in charge ticket,2010-02-09 08:35:12,Value 16
4370,Wait,2010-02-09 08:35:26,Value 16
4370,Wait,2010-02-09 08:36:27,Value 2
4370,Take in charge ticket,2010-02-19 08:31:40,Value 11
4370,Resolve ticket,2010-02-19 08:32:00,Value 11
4370,Closed,2010-04-09 07:40:43,Value 5
4381,Assign seriousness,2013-10-31 14:55:24,Value 9
4381,Take in charge ticket,2013-10-31 15:04:25,Value 9
4381,Wait,2013-11-05 14:35:43,Value 9
4381,Resolve ticket,2013-11-19 16:09:52,Value 9
4381,Closed,2013-12-04 16:10:09,Value 3
4392,Assign seriousness,2013-07-16 14:19:52,Value 1
4392,Take in charge ticket,2013-07-23 08:59:56,Value 1
4392,Wait,2013-07-24 08:11:00,Value 1
4392,Resolve ticket,2013-08-19 15:22:57,Value 1
4392,Closed,2013-09-03 15:23:13,Value 3
4403,Assign seriousness,2010-12-10 09:15:54,Value 14
4403,Take in charge ticket,2010-12-10 09:16:17,Value 14
4403,Resolve ticket,2010-12-10 09:16:34,Value 14
4403,Closed,2011-01-12 09:20:47,Value 5
4414,Assign seriousness,2011-02-24 17:01:50,Value 8
4414,Take in charge ticket,2011-02-24 17:03:45,Value 8
4414,Resolve ticket,2011-03-04 10:02:13,Value 9
4414,Closed,2011-04-09 16:00:27,Value 5
4425,Assign seriousness,2012-06-12 16:12:48,Value 1
4425,Take in charge ticket,2012-06-15 07:27:33,Value 9
4425,Wait,2012-06-15 10:00:52,Value 9
4425,Resolve ticket,2012-06-18 09:42:02,Value 9
4425,Closed,2012-07-14 15:40:24,Value 5
4436,Assign seriousness,2011-11-14 14:35:55,Value 1
4436,Take in charge ticket,2011-11-17 16:58:30,Value 9
4436,Wait,2011-11-17 16:59:03,Value 9
4436,Resolve ticket,2011-11-25 09:30:07,Value 9
4436,Take in charge ticket,2011-11-28 13:50:35,Value 9
4436,Wait,2011-11-28 13:59:00,Value 9
4436,Resolve ticket,2011-12-07 13:41:18,Value 9
4436,Closed,2012-01-06 16:20:25,Value 5
4447,Assign seriousness,2010-09-24 07:57:49,Value 14
4447,Assign seriousness,2010-09-24 13:43:51,Value 7
4447,Wait,2010-09-24 13:44:52,Value 7
4447,Take in charge ticket,2010-10-04 10:48:54,Value 14
4447,Resolve ticket,2010-10-04 10:49:08,Value 14
4447,Closed,2010-11-03 11:49:30,Value 5
4458,Assign seriousness,2013-02-26 16:56:03,Value 1
4458,Take in charge ticket,2013-03-13 16:41:09,Value 2
4458,Resolve ticket,2013-03-14 15:26:52,Value 4
4458,Closed,2013-03-29 15:27:15,Value 3
4470,Assign seriousness,2010-03-16 07:59:03,Value 2
4470,Take in charge ticket,2010-03-17 09:02:03,Value 12
4470,Resolve ticket,2010-03-17 09:49:51,Value 12
4470,Closed,2010-04-21 16:00:28,Value 5
4481,Assign seriousness,2011-05-24 12:51:35,Value 8
4481,Take in charge ticket,2011-05-24 12:52:07,Value 8
4481,Resolve ticket,2011-05-24 13:36:11,Value 2
4481,Closed,2011-07-09 13:00:36,Value 5
4492,Assign seriousness,2010-03-09 10:09:33,Value 2
4492,Take in charge ticket,2010-03-09 10:09:44,Value 2
4492,Resolve ticket,2010-03-18 09:27:56,Value 2
4492,Closed,2010-05-02 08:28:46,Value 5
4503,Assign seriousness,2012-07-25 07:02:54,Value 1
4503,Take in charge ticket,2012-07-30 09:39:04,Value 4
4503,Resolve ticket,2012-08-02 15:14:07,Value 13
4503,Closed,2012-09-09 07:10:33,Value 5
4514,Assign seriousness,2012-02-08 08:33:56,Value 9
4514,Take in charge ticket,2012-02-08 08:34:08,Value 9
4514,Resolve ticket,2012-02-08 08:34:34,Value 9
4514,Closed,2012-04-07 07:42:34,Value 5
4525,Assign seriousness,2011-09-26 10:27:14,Value 1
4525,Take in charge ticket,2011-09-29 13:54:32,Value 1
4525,Resolve ticket,2011-09-30 09:09:23,Value 1
4525,Closed,2011-10-27 10:30:27,Value 5
4536,Assign seriousness,2012-02-27 16:31:32,Value 1
4536,Take in charge ticket,2012-02-28 08:52:59,Value 6
4536,Resolve ticket,2012-02-29 08:25:13,Value 1
4536,Resolve ticket,2012-02-29 08:25:14,Value 1
4536,Closed,2012-04-11 15:40:27,Value 5
4547,Assign seriousness,2013-04-02 12:26:52,Value 2
4547,Take in charge ticket,2013-04-05 16:14:03,Value 10
4547,Resolve ticket,2013-05-10 09:30:24,Value 10
4547,Closed,2013-05-25 09:30:42,Value 3
4558,Assign seriousness,2012-07-05 12:16:51,Value 1
4558,Take in charge ticket,2012-07-05 12:20:39,Value 1
4558,Resolve ticket,2012-07-09 13:21:24,Value 9
4558,Closed,2012-08-07 12:20:18,Value 5
4569,Assign seriousness,2011-05-11 10:16:32,Value 8
4569,Take in charge ticket,2011-05-11 10:17:55,Value 8
4569,Resolve ticket,2011-05-16 08:33:29,Value 13
4569,Closed,2011-06-11 10:20:27,Value 5
2,Assign seriousness,2013-04-12 10:25:17,Value 1
2,Take in charge ticket,2013-04-24 10:24:01,Value 9
2,Require upgrade,2013-04-24 15:51:11,Value 9
2,Resolve ticket,2013-05-15 13:21:00,Value 2
2,Closed,2013-05-30 13:21:20,Value 3
13,Insert ticket,2010-06-18 13:47:15,Value 15
13,Assign seriousness,2010-06-18 14:18:15,Value 15
13,Take in charge ticket,2010-06-29 07:35:47,Value 2
13,Resolve ticket,2010-06-29 08:33:07,Value 2
13,Closed,2010-08-05 13:50:24,Value 5
24,Assign seriousness,2012-01-30 09:09:29,Value 4
24,Take in charge ticket,2012-01-30 09:09:57,Value 4
24,Resolve ticket,2012-01-31 08:12:06,Value 2
24,Closed,2012-03-16 09:12:11,Value 5
35,Assign seriousness,2010-06-07 07:30:54,Value 2
35,Assign seriousness,2010-06-07 07:49:10,Value 2
35,Take in charge ticket,2010-06-07 15:16:44,Value 15
35,Wait,2010-06-08 10:37:29,Value 15
35,Take in charge ticket,2010-06-09 07:18:05,Value 15
35,Create SW anomaly,2010-06-09 07:18:28,Value 15
35,Resolve ticket,2010-06-16 09:23:07,Value 15
35,Closed,2010-07-16 09:23:33,Value 5
46,Assign seriousness,2011-01-27 08:34:59,Value 8
46,Take in charge ticket,2011-01-27 09:32:40,Value 17
46,Resolve ticket,2011-01-27 09:34:24,Value 17
46,Closed,2011-03-05 08:42:36,Value 5
57,Assign seriousness,2012-11-20 09:00:13,Value 1
57,Take in charge ticket,2012-11-26 16:42:13,Value 2
57,Wait,2012-11-30 09:01:21,Value 2
57,Resolve ticket,2012-12-07 16:04:16,Value 2
57,Closed,2012-12-22 16:04:35,Value 3
68,Assign seriousness,2013-02-15 13:12:20,Value 1
68,Resolve ticket,2013-03-05 08:06:13,Value 1
68,Closed,2013-03-20 08:06:31,Value 3
79,Assign seriousness,2013-10-30 13:25:20,Value 18
79,Take in charge ticket,2013-10-31 14:48:10,Value 2
79,Wait,2013-11-15 08:31:41,Value 2
79,Resolve ticket,2013-11-18 08:20:45,Value 2
79,Closed,2013-12-03 08:20:56,Value 3
90,Assign seriousness,2011-01-12 11:28:16,Value 13
90,Take in charge ticket,2011-01-24 09:21:26,Value 12
90,Resolve ticket,2011-01-26 08:12:39,Value 12
90,Closed,2011-02-25 08:13:02,Value 5
101,Assign seriousness,2010-09-24 15:35:31,Value 14
101,Take in charge ticket,2010-09-27 09:11:48,Value 9
101,Wait,2010-09-28 08:31:41,Value 9
101,Take in charge ticket,2010-11-08 09:33:36,Value 9
101,Resolve ticket,2010-11-08 09:33:57,Value 9
101,Closed,2010-11-23 09:34:09,Value 5
